               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06239,            0.010517,            0.062741,          0.00045875,          0.00042985,          0.00023588,          8.1142e-05,            0.084176,           0.0068472,            0.045041,            0.070084,            0.003324,            0.003324
                   1,            0.055244,            0.011836,            0.056377,          0.00029494,            0.010639,          0.00021517,           3.535e-05,            0.059827,           0.0081451,            0.042823,            0.040084,           0.0066572,           0.0066572
                   2,            0.052943,            0.012969,             0.05485,          0.00023301,            0.015058,          0.00015654,          3.0595e-05,            0.071945,           0.0079142,            0.042012,            0.010084,           0.0099901,           0.0099901
                   3,            0.049586,            0.013996,             0.05397,          6.5693e-05,            0.012856,          5.5684e-05,          1.7692e-05,            0.062571,           0.0086971,            0.041616,           0.0099988,           0.0099988,           0.0099988
                   4,            0.046363,            0.014103,            0.053234,           0.0025297,             0.17147,           0.0039865,           0.0012514,            0.051076,           0.0083019,            0.042323,           0.0099988,           0.0099988,           0.0099988
                   5,            0.043102,            0.013982,            0.052052,           0.0033793,             0.24525,           0.0081598,           0.0029869,            0.049772,           0.0073383,            0.041406,           0.0099978,           0.0099978,           0.0099978
                   6,              0.0408,            0.013571,            0.051101,           0.0047567,             0.17456,           0.0065346,            0.002448,             0.04746,           0.0074672,            0.040141,           0.0099965,           0.0099965,           0.0099965
                   7,            0.039576,            0.013508,            0.049862,           0.0060873,             0.35769,            0.015629,            0.007162,            0.041417,           0.0067497,            0.040044,            0.009995,            0.009995,            0.009995
                   8,            0.038949,            0.013226,            0.048952,           0.0056163,             0.27934,            0.013318,           0.0047179,            0.044746,           0.0064558,            0.039503,           0.0099932,           0.0099932,           0.0099932
                   9,            0.038325,            0.013203,            0.048043,           0.0086973,             0.37692,            0.023857,            0.010539,            0.038656,           0.0065559,            0.039736,           0.0099911,           0.0099911,           0.0099911
                  10,            0.037859,              0.0131,            0.047228,             0.66824,            0.024066,            0.022679,            0.010478,            0.037817,           0.0076871,            0.039961,           0.0099888,           0.0099888,           0.0099888
                  11,            0.037423,            0.012968,            0.046163,            0.011051,             0.26948,            0.025667,            0.011427,            0.040643,           0.0069591,            0.039062,           0.0099861,           0.0099861,           0.0099861
                  12,            0.036996,            0.012904,            0.045387,             0.49019,            0.095448,            0.034603,            0.017491,            0.040395,           0.0065659,            0.039412,           0.0099832,           0.0099832,           0.0099832
                  13,            0.036598,             0.01291,             0.04456,             0.58737,            0.045956,            0.047504,            0.024945,            0.036751,           0.0066631,            0.037177,             0.00998,             0.00998,             0.00998
                  14,             0.03642,            0.012813,            0.044239,             0.67002,            0.049594,            0.057885,             0.02933,            0.035688,           0.0064196,            0.035939,           0.0099766,           0.0099766,           0.0099766
                  15,             0.03595,            0.012621,            0.043142,             0.71843,            0.047822,            0.057346,            0.027186,            0.035831,           0.0062254,            0.038055,           0.0099728,           0.0099728,           0.0099728
                  16,            0.035921,            0.012462,              0.0424,              0.6329,            0.065583,            0.070499,            0.035193,            0.036463,           0.0065043,             0.03571,           0.0099688,           0.0099688,           0.0099688
                  17,            0.036073,            0.012638,            0.041495,             0.62765,            0.080234,            0.078916,            0.040422,            0.034306,           0.0062763,            0.035968,           0.0099645,           0.0099645,           0.0099645
                  18,            0.035785,            0.012522,             0.04048,              0.5549,            0.090601,            0.066817,            0.030671,            0.036683,           0.0065909,            0.035763,           0.0099599,           0.0099599,           0.0099599
                  19,            0.035423,            0.012398,            0.039715,             0.61046,             0.10317,             0.10068,            0.049933,            0.033827,            0.006147,            0.034094,           0.0099551,           0.0099551,           0.0099551
                  20,            0.035326,            0.012285,            0.039125,             0.60912,             0.10728,             0.10866,             0.05401,            0.033466,           0.0061287,            0.033986,             0.00995,             0.00995,             0.00995
                  21,            0.035033,            0.012265,            0.038617,             0.59571,             0.11906,             0.11575,            0.058115,            0.032422,           0.0060811,            0.033327,           0.0099446,           0.0099446,           0.0099446
